State Name,County Name,County FIPS,CropDmg,CropDmg(ADJ 2019),CropDmgPerCapita(ADJ 2019),PropertyDmg,PropertyDmg(ADJ 2019),PropertyDmgPerCapita(ADJ 2019),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
FLORIDA,Marion,'12083',0.00000,0.00000,0.00000,20500.00000,21295.51000,0.06007,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,2
FLORIDA,Martin,'12085',0.00000,0.00000,0.00000,4300000.00000,4467589.73000,27.93588,0.00000,0.00000,2.00000,0.00001,2.00000,1.00000,0.00000,2.00000,0.00000,3
FLORIDA,Miami-Dade,'12086',255245000.00000,265193009.65000,96.37088,1050000.00000,1089364.10000,0.39606,3.00000,0.00000,12.00000,0.00000,2.00000,2.00000,1.00000,1.00000,2.00000,12
FLORIDA,Monroe,'12087',0.00000,0.00000,0.00000,500.00000,516.02000,0.00688,40.00000,0.00052,9.00000,0.00012,2.00000,2.00000,2.00000,1.00000,0.00000,5
FLORIDA,Nassau,'12089',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00001,1.00000,0.00001,1.00000,1.00000,1.00000,0.00000,0.00000,1
FLORIDA,Okaloosa,'12091',0.00000,0.00000,0.00000,25000.00000,25974.36000,0.12797,8.00000,0.00004,4.00000,0.00002,1.00000,1.00000,1.00000,1.00000,0.00000,7
FLORIDA,Okeechobee,'12093',0.00000,0.00000,0.00000,157000000.00000,163118973.99000,3920.65795,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
FLORIDA,Orange,'12095',0.00000,0.00000,0.00000,122167666.67000,126929065.96000,94.09295,0.00000,0.00000,0.33000,0.00000,2.00000,2.00000,0.00000,2.00000,0.00000,3
FLORIDA,Osceola,'12097',0.00000,0.00000,0.00000,112166666.67000,116538290.34000,330.90548,0.00000,0.00000,0.33000,0.00000,2.00000,2.00000,0.00000,2.00000,0.00000,2
FLORIDA,Palm Beach,'12099',0.00000,0.00000,0.00000,300031000.00000,311723728.77000,211.89095,24.00000,0.00002,4.00000,0.00000,3.00000,1.00000,3.00000,3.00000,0.00000,21
FLORIDA,Pasco,'12101',7300000.00000,7584512.80000,14.42902,10460000.00000,10867671.77000,20.67501,0.00000,0.00000,0.00000,0.00000,8.00000,0.00000,0.00000,8.00000,2.00000,3
FLORIDA,Pinellas,'12103',0.00000,0.00000,0.00000,594470000.00000,617639085.77000,636.32345,0.00000,0.00000,2.00000,0.00000,2.00000,1.00000,0.00000,2.00000,0.00000,4
FLORIDA,Polk,'12105',93500000.00000,97144102.34000,141.50984,68980000.00000,71668451.12000,104.39946,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,2.00000,1
FLORIDA,St. Johns,'12109',0.00000,0.00000,0.00000,15000.00000,15584.62000,0.06392,0.00000,0.00000,3.00000,0.00001,1.00000,1.00000,0.00000,1.00000,0.00000,4
FLORIDA,St. Lucie,'12111',0.00000,0.00000,0.00000,55000000.00000,57143589.62000,182.27271,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,2
FLORIDA,Santa Rosa,'12113',0.00000,0.00000,0.00000,510000.00000,529807.66000,3.03844,0.00000,0.00000,1.00000,0.00001,2.00000,1.00000,0.00000,2.00000,0.00000,4
FLORIDA,Sarasota,'12115',2200000.00000,2285743.58000,5.45369,10780000.00000,11200143.56000,26.72306,0.00000,0.00000,2.00000,0.00000,3.00000,3.00000,0.00000,3.00000,2.00000,4
FLORIDA,Seminole,'12117',0.00000,0.00000,0.00000,543200000.00000,564370870.51000,1219.84198,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
FLORIDA,Sumter,'12119',0.00000,0.00000,0.00000,18880000.00000,19615835.85000,156.71982,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
FLORIDA,Taylor,'12123',0.00000,0.00000,0.00000,3613000.00000,3733127.86000,171.31907,0.00000,0.00000,0.00000,0.00000,4.00000,0.00000,0.00000,4.00000,0.00000,5
FLORIDA,Volusia,'12127',0.00000,0.00000,0.00000,332000004.00000,344939490.39000,640.32785,6.00000,0.00001,8.00000,0.00001,2.00000,2.00000,1.00000,2.00000,0.00000,13
FLORIDA,Wakulla,'12129',150000000.00000,154807202.55000,4769.02137,302050000.00000,311744302.54000,9604.35336,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,1.00000,6
FLORIDA,Walton,'12131',0.00000,0.00000,0.00000,194000.00000,200875.29000,2.87502,0.00000,0.00000,5.00000,0.00007,2.00000,2.00000,0.00000,2.00000,0.00000,14
FLORIDA,Washington,'12133',150000000.00000,154807202.55000,6222.15444,250060000.00000,258074342.71000,10372.79489,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,1.00000,3

